_id,pin,address,billing_city,current_delq_tax,current_delq_pi,prior_years,prior_delq_tax,prior_delq_pi,state_description,neighborhood,council_district,ward,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
2655445,0008A00051000000,829 WESTERN AVE,"PITTSBURGH, PA",9565.84,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01512858509358,40.451972261561295
2655446,0022S00108000000,909 W NORTH AVE,"TUCSON, AZ",499.37,0,0,0,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01741492984365,40.45325815441406
2655447,0003N00226000000,21 BELTZHOOVER AVE,"POMONA, CA",23.53,0,0,0,0,Residential,Allentown,3,18,4,18,3,4-5,-79.99723143094563,40.42514430955565
2655448,0013J00138000000,1817 WAITE ST,"ALIQUIPPA, PA",227.56,0,0,0,0,Residential,Arlington,3,16,4,16,3,4-8,-79.9798101603084,40.4173355144696
2655449,0032D00208000000,101 EADS ST,"PITTSBURGH, PA",556.55,0,0,0,0,Residential,Arlington,3,16,4,16,3,4-13,-79.96841177998041,40.41259526302736
2655450,0051B00022000A00,338 GROSS ST,"PITTSBURGH, PA",960.33,0,0,0,0,Residential,Bloomfield,7,8,2,8,5,3-6,-79.94497451744328,40.46114217941233
2655451,0051B00024000000,344 GROSS ST,"PITTSBURGH, PA",8210.93,0,0,0,0,Residential,Bloomfield,7,8,2,8,5,3-6,-79.94501068940512,40.46093037035634
2655452,0050N00002000000,136 PEARL ST,"OMAHA, NE",2278.22,0,0,0,0,Residential,Bloomfield,7,9,2,9,5,3-6,-79.94847661590404,40.46465313023544
2655453,0051B00022000B00,340 GROSS ST,"PITTSBURGH, PA",3344.49,0,0,0,0,Residential,Bloomfield,7,8,2,8,5,3-6,-79.94500265749402,40.46109531321677
2655454,0049R00015000000,4083 CABINET ST,"PITTSBURGH, PA",2018.08,0,0,0,0,Residential,Bloomfield,7,9,2,9,5,3-6,-79.9543218452723,40.46460542239623
2655455,0049L00348000100,4020 PENN AVE,"DALLAS, TX",246.3,0,0,0,0,Residential,Bloomfield,7,9,2,9,5,3-6,-79.95705253653738,40.46517344557084
2655456,0002L00221000000,1000 LOCUST ST,"PITTSBURGH, PA",1510.42,0,0,0,0,Gov't Owned,Bluff,6,1,3,1,2,2-4,-79.9908760879223,40.43646924757179
2655457,0075B00241000000,1803 DAVIS AVE,"IRVING, TX",44.73,0.73,0,0,0,Commercial,Brighton Heights,1,27,1,27,1,1-14,-80.0419544245997,40.47959650272553
2655458,0097D00054000000,808 BROOKLINE BLVD,"PITTSBURGH, PA",4881.05,0,0,0,0,Commercial,Brookline,4,19,4,19,6,4-26,-80.01987171587525,40.39327950344749
2655459,0062G00122000000,2426 WOODWARD AVE,"HARRISBURG, PA",1239.41,0,0,0,0,Residential,Brookline,4,19,4,19,6,4-26,-80.0232595020841,40.399605880173645
2655460,0001D00032000000,600 PENN AVE,"PITTSBURGH, PA",89790.73,0,0,0,0,Commercial,Central Business District,1,2,1,2,2,1-3,-80.00145181538569,40.44268974436032
2655461,0009N00165000000,135 9TH ST,"HOUSTON, TX",928.21,0,0,0,0,Commercial,Central Business District,1,2,1,2,2,1-3,-79.99831866152964,40.44409940728266
2655462,0049B00211000000,224 45TH ST,"DALLAS, TX",902.05,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95891524688234,40.471688659263044
2655463,0080P00226000000,178 HOME ST,"IRVING, TX",4042.63,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95923277392198,40.47385676442627
2655464,0049C00066000000,269 45TH ST,"SAN DIEGO, CA",423,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95728300724093,40.47103671532712
2655465,0080P00008000000,146 44TH ST,"HOMESTEAD, PA",923.46,0,0,0,0,Commercial,Central Lawrenceville,7,9,2,9,2,3-3,-79.9616856160577,40.472519823518354
2655466,0049F00256000000,284 MAIN ST,"ATLANTA, GA",338.24,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95815238068529,40.46809905385204
2655467,0049G00223000000,4222 GENEVA ST,"IRVING, TX",1678.1,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95513987437283,40.46742667070249
2655468,0049A00073000000,126 BANNER WAY,"IRVING, TX",665.99,0,0,0,0,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.962988591664,40.47147118181146
2655469,0023E00055000000,1773 PERRYSVILLE AVE,"IRVING, TX",1637.81,0,0,0,0,Residential,Central Northside,1,25,1,25,1,1-10,-80.01217989622648,40.45976246799806
2655470,0022S00149000000,922 W NORTH AVE,"GLENSHAW, PA",5529.32,0,0,0,0,Residential,Central Northside,1,22,1,22,1,1-7,-80.01797348387758,40.453589198510016
2655471,0023G00046000000,1503 BOYLE ST,"SACRAMENTO, CA",1880.47,0,0,0,0,Residential,Central Northside,1,25,1,25,1,1-6,-80.00688897894686,40.458517045358285
2655472,0023K00325000000,107 SAMPSONIA ST,"PITTSBURGH, PA",1557.21,0,0,0,0,Residential,Central Northside,1,22,1,22,1,1-21,-80.00859712896073,40.4572820962748
2655473,0023L00202000000,111 HEMLOCK ST,"FLORENCE, SC",3325.98,0,0,0,0,Residential,Central Northside,1,22,1,22,1,1-6,-80.00567520757667,40.45740080349629
2655474,0028F00337000000,MCKEE PL,"PITTSBURGH, PA",5428.29,0,0,0,0,Other,Central Oakland,3,4,3,4,4,2-14,-79.9582624650645,40.43921516088447
2655475,0006K00257000000,311 SHALER ST,"PITTSBURGH, PA",919.71,0,0,0,0,Residential,Duquesne Heights,2,19,5,19,3,4-1,-80.0250486499809,40.43757038930968
2655476,0006K00159000000,333 REPUBLIC ST,"PITTSBURGH, PA",400.26,0,0,0,0,Residential,Duquesne Heights,2,19,5,19,3,4-1,-80.02657485888786,40.43780149792385
2655477,0024K00025000000,857 PERALTA ST,"WEXFORD, PA",4099.82,0,0,0,0,Residential,East Allegheny,1,23,1,23,1,1-5,-79.99528564145926,40.45558432709859
2655478,0023S00202000000,728 JAMES ST,"PITTSBURGH, PA",4613.82,0,0,0,0,Commercial,East Allegheny,1,23,1,23,1,1-6,-80.00061516482624,40.45419770962603
2655479,0083F00233000000,509 N SAINT CLAIR ST,"PITTSBURGH, PA",99.45,0,0,0,0,Residential,East Liberty,9,11,2,11,5,3-8,-79.92615507494449,40.46773222924352
2655480,0084E00026000000,328 AMBER ST,"CLEVELAND, OH",1686.86,0,0,0,0,Residential,East Liberty,7,8,2,8,5,3-23,-79.9321723885907,40.45962022890555
2655481,0083M00036000000,629 COLLINS AVE,"GLEN ALLEN, VA",1531.84,0,0,0,0,Residential,East Liberty,9,11,2,11,5,3-8,-79.91902983557021,40.4670856702488
2655482,0083K00136000000,5704 RIPPEY ST,"IRVING, TX",2750.87,0,0,0,0,Residential,East Liberty,9,11,2,11,5,3-8,-79.9268016886334,40.46573109240684
2655483,0082N00268000000,761 CHISLETT ST,"IRVING, TX",1663.92,0,0,0,0,Residential,East Liberty,7,11,2,11,5,3-8,-79.93103732813299,40.473122006755496
2655484,0083M00044000000,611 COLLINS AVE,"HERMITAGE, PA",4334.24,0,0,0,0,Residential,East Liberty,9,11,2,11,5,3-8,-79.91929076959211,40.466662174596976
2655485,0046R00015000B00,1929 MOUNTFORD AVE,"ALLISON PARK, PA",573.72,0,0,0,0,Residential,Fineview,6,25,1,25,1,1-10,-80.00762024097926,40.463037194516325
2655486,0046R00015000L00,1929 MOUNTFORD AVE,"PITTSBURGH, PA",575.61,0,0,0,0,Residential,Fineview,6,25,1,25,1,1-10,-80.00762024097926,40.463037194516325
2655487,0023C00199000000,1619 MYLER ST,"PITTSBURGH, PA",2753.68,0,0,0,0,Residential,Fineview,1,25,1,25,1,1-10,-80.0041462770115,40.46131911163577
2655488,0050F00069000000,4817 KINCAID ST,"CINCINNATI, OH",2777.05,0,0,0,0,Residential,Garfield,9,10,2,10,5,3-4,-79.94525198701825,40.46784737825337
2655489,0050M00258000000,5449 KINCAID ST,"IRVING, TX",1427.98,0,0,0,0,Residential,Garfield,9,11,2,11,5,3-4,-79.93309658988503,40.46618009917218
2655490,0050M00306000000,5464 BROAD ST,"LIMA, OH",1008.03,0,0,0,0,Residential,Garfield,9,11,2,11,5,3-4,-79.93354801309914,40.46513112216161
2655491,0050H00221000000,416 WICKLOW ST,"PITTSBURGH, PA",2197.63,0,0,0,0,Residential,Garfield,9,10,2,10,5,3-4,-79.93503405656382,40.46827768118731
2655492,0054P00209000000,4016 HALDANE ST,"PITTSBURGH, PA",53.82,0,0,0,0,Residential,Greenfield,5,15,3,15,4,2-12,-79.9433730273559,40.42477358565321
2655493,0087P00122000000,3537 BEECHWOOD BLVD,"PITTSBURGH, PA",657.62,0,0,0,0,Residential,Greenfield,5,15,3,15,4,2-15,-79.9277090943619,40.423721351871
2655494,0054N00323000000,3842 ALEXIS ST,"PITTSBURGH, PA",37.58,0,0,0,0,Residential,Greenfield,5,15,3,15,4,2-12,-79.9484298341306,40.42595272432039
2655495,0055G00328000000,500 BIGELOW ST,"PITTSBURGH, PA",19.02,0,0,0,0,Residential,Hazelwood,5,15,3,15,4,2-12,-79.93968603968563,40.41875739164682
2655496,0056P00268000000,5231 GERTRUDE ST,"IRVING, TX",2547.9,0,0,0,0,Residential,Hazelwood,5,15,3,15,4,2-13,-79.94137754123376,40.40542940985603
2655497,0057B00101000000,2ND AVE,"HOMESTEAD, PA",22.87,0,0,0,0,Residential,Hazelwood,5,15,3,15,4,2-13,-79.9416661263163,40.40216473280814
2655498,0055A00223000000,74 BIGELOW ST,"SPRINGFIELD, OH",1235.09,0,0,0,0,Residential,Hazelwood,5,15,3,15,4,2-12,-79.94862518725051,40.42322896853239
2655499,0082M00194000000,5824 BRYANT ST,"IRVING, TX",2160.69,0,0,0,0,Residential,Highland Park,7,11,2,11,5,3-9,-79.92000176682973,40.47563585059182
2655500,0083C00235000000,816 N BEATTY ST,"CINCINNATI, OH",4274.36,0,0,0,0,Residential,Highland Park,7,11,2,11,5,3-9,-79.92180819057106,40.47095034183944
2655501,0175C00147000000,7704 TIOGA ST,"PITTSBURGH, PA",1112.75,0,0,0,0,Commercial,Homewood South,9,13,2,13,5,3-17,-79.88984666840922,40.45103265599441
2655502,0175C00107000000,541 BRUSHTON AVE,"PITTSBURGH, PA",517.75,0,0,0,0,Commercial,Homewood South,9,13,2,13,5,3-17,-79.89038243444851,40.451261596069
2655503,0175C00145000000,536 BRUSHTON AVE,"PITTSBURGH, PA",893.54,0,0,0,0,Gov't Owned,Homewood South,9,13,2,13,5,3-17,-79.8899460294958,40.45091038471897
2655504,0124N00032000000,AUBURN ST,"PITTSBURGH, PA",70.53,0,0,0,0,Residential,Larimer,9,12,2,12,5,3-10,-79.91588580022174,40.463387265806
2655505,0124N00106000000,MAYFLOWER ST,"PITTSBURGH, PA",99.11,0,0,0,0,Residential,Larimer,9,12,2,12,5,3-10,-79.91532368379654,40.46410798354937
2655506,0124N00076000000,MAYFLOWER ST,"PITTSBURGH, PA",70.53,0,0,0,0,Residential,Larimer,9,12,2,12,5,3-10,-79.91385061034963,40.462719161944925
2655507,0124N00043000000,MAYFLOWER ST,"PITTSBURGH, PA",64.8,0,0,0,0,Residential,Larimer,9,12,2,12,5,3-10,-79.915880987552,40.46385337625495
2655508,0124N00006000000,146 AUBURN ST,"PITTSBURGH, PA",352.62,0,0,0,0,Residential,Larimer,9,12,2,12,5,3-10,-79.91574313827735,40.46262459738095
2655509,0124N00045000000,MAYFLOWER ST,"PITTSBURGH, PA",74.34,0,0,0,0,Residential,Larimer,9,12,2,12,5,3-10,-79.91577310208707,40.46378742263178
2655510,0048M00041000000,184 36TH ST,"DENVER, CO",2993.76,0,0,0,0,Residential,Lower Lawrenceville,7,6,1,6,2,3-3,-79.96614256676665,40.46552404910971
2655511,0049P00318000000,3903 CLEMENT WAY,"IRVING, TX",3469.77,0,0,0,0,Residential,Lower Lawrenceville,7,6,1,6,2,3-6,-79.95922387472275,40.46302316273045
2655512,0049N00406000000,3448 LIGONIER ST,"PITTSBURGH, PA",893.92,0,0,0,0,Residential,Lower Lawrenceville,7,6,1,6,2,3-6,-79.96510912710195,40.46293902671294
2655513,0049P00351000000,3919 LIBERTY AVE,"IRVING, TX",1768.77,0,0,0,0,Residential,Lower Lawrenceville,7,6,1,6,2,3-6,-79.95870109059452,40.46284118480554
2655514,0049E00079000000,3811 BUTLER ST,"WEXFORD, PA",165.23,0,0,0,0,Commercial,Lower Lawrenceville,7,6,1,6,2,3-3,-79.96431316563687,40.46733034329044
2655515,0022R00209000000,1121 SHEFFIELD ST,"MURRYSVILLE, PA",171.26,10.71,0,0,0,Residential,Manchester,6,21,1,21,1,1-8,-80.02182735325299,40.453668745523096
2655516,0022L00196000000,1507 ALLEGHENY AVE,"IRVING, TX",2473.99,0,0,0,0,Residential,Manchester,6,21,1,21,1,1-8,-80.02070807204355,40.45632590114733
2655517,0022P00004000000,1506 CHATEAU ST,"PITTSBURGH, PA",3491.76,0,0,0,0,Residential,Manchester,6,21,1,21,1,1-8,-80.02826947272794,40.45495965776469
2655518,0022L00013000000,1217 JUNIATA ST,"IRVING, TX",1111.21,0,0,0,0,Residential,Manchester,6,21,1,21,1,1-8,-80.02391639718152,40.45723269990756
2655519,0121K00039000000,1715 MORNINGSIDE AVE,"IRVING, TX",1507.21,0,0,0,0,Residential,Morningside,7,10,2,10,5,3-7,-79.9283512804004,40.48587660882384
2655520,0033M00123000000,502 GIFFIN AVE,"PITTSBURGH, PA",65.25,0,0,0,0,Residential,Mount Oliver Borough,,,,,,,,
2655521,0033G00269000000,438 WILLIAM ST,"OAK HILLS, CA",311.2,0,0,0,0,Residential,Mount Oliver Borough,,,,,,,,
2655522,0033D00034000000,175 PENN AVE REAR,"IRVING, TX",105.2,0,0,0,0,Residential,Mount Oliver Borough,,,,,,,,
2655523,0033D00360000000,265 ANTHONY ST,"HARRISBURG, PA",456.45,0,0,0,0,Residential,Mount Oliver Borough,,,,,,,,
2655524,0014M00218000000,131 STAMM AVE,"IRVING, TX",220.12,0,0,0,0,Residential,Mount Oliver Borough,,,,,,,,
2655525,0033G00122000000,224 GIFFIN AVE,"FORT LAUDERDAL, FL",145.67,0,0,0,0,Residential,Mount Oliver Borough,,,,,,,,
2655526,0014M00091000000,115 FREDERICK ST,"IRVING, TX",205.86,0,0,0,0,Residential,Mount Oliver Borough,,,,,,,,
2655527,0004M00016000000,292 BAILEY AVE,"SAN JOSE, CA",41.63,0,0,0,0,Residential,Mount Washington,3,18,5,18,3,4-5,-80.00275430532025,40.42674625385094
2655528,0004M00074000000,20 JUDICIAL ST,"NEW HAVEN, MI",1420.76,0,0,0,0,Residential,Mount Washington,3,18,5,18,3,4-5,-80.00011774792131,40.426386058871486
2655529,0004F00175000000,216 NATCHEZ ST,"MC KEESPORT, PA",2793.35,0,0,0,0,Residential,Mount Washington,2,19,5,19,3,4-27,-80.01017466418142,40.42934500274446
2655530,0001J00026000000,815 GRANDVIEW AVE,"PITTSBURGH, PA",28.6,0,0,0,0,Residential,Mount Washington,2,19,5,19,3,4-1,-80.01525398869789,40.43592821690981
2655531,0032A00192000000,440 ORMSBY AVE,"PITTSBURGH, PA",495.56,0,0,0,0,Residential,Mt. Oliver,3,16,4,16,3,4-8,-79.98008072470329,40.41232004011014
2655532,0026S00045000000,400 N CRAIG ST,"PITTSBURGH, PA",56720.66,0,0,0,0,Commercial,North Oakland,6,5,3,5,4,2-23,-79.9530888527563,40.45428063563213
2655533,0162K00102000000,211 PERRYVIEW AVE,"POMONA, CA",2191.9,0,0,0,0,Residential,Perry North,1,26,1,26,1,1-15,-80.02522716163494,40.4952604051564
2655534,0077N00082000000,276 KENNEDY AVE,"MC KEES ROCKS, PA",779.56,0,0,0,0,Residential,Perry South,6,26,1,26,1,1-23,-80.01338932652898,40.47431765316932
2655535,0175K00017000000,7609 TUSCARORA ST,"PITTSBURGH, PA",2469.74,0,0,0,0,Residential,Point Breeze,9,14,2,14,4,3-14,-79.8949094731711,40.44625299368224
2655536,0176A00173000000,531 S BRADDOCK AVE,"PITTSBURGH, PA",47.66,0,0,0,0,Residential,Point Breeze,9,14,2,14,4,3-14,-79.89696274017292,40.44166870437578
2655537,0085H00071000000,131 BEECHWOOD LN,"PITTSBURGH, PA",221.1,0,0,0,0,Residential,Point Breeze,9,14,2,14,4,2-17,-79.91762794542974,40.448624439712155
2655538,0126A00120000000,314 ELYSIAN ST,"PITTSBURGH, PA",87.09,0,0,0,0,Residential,Point Breeze,9,14,2,14,4,2-17,-79.9139584514619,40.45134631020427
2655539,0126C00024000000,7008 THOMAS BLVD,"IRVING, TX",1896.48,0,0,0,0,Residential,Point Breeze North,9,14,2,14,4,3-14,-79.90439055670576,40.45202082612812
2655540,0025M00096000000,3115 BRERETON ST,"BUTLER, PA",50.39,0,0,0,0,Residential,Polish Hill,7,6,3,6,2,2-6,-79.96654666542527,40.456874550836304
2655541,0029C00054000000,3504 FRAZIER ST,"IRWIN, PA",438.38,0,0,0,0,Residential,South Oakland,3,4,3,4,4,2-11,-79.9567285646672,40.4313290988822
2655542,0028S00069000000,3318 DAWSON ST,"PITTSBURGH, PA",801.3,0,0,0,0,Residential,South Oakland,3,4,3,4,4,2-11,-79.95315082095041,40.433302321399125
2655543,0003F00069000000,437 E CARSON ST,"GREENVILLE, SC",2775.15,0,0,0,0,Residential,South Side Flats,3,17,4,17,3,4-2,-79.99515433460827,40.42895423623779
2655544,0003L00067000000,119 S 11TH ST,"POMONA, CA",24.79,0,0,0,0,Residential,South Side Flats,3,17,4,17,3,4-24,-79.98728734141814,40.42686715695316
2655545,0013D00155000000,2714 MISSION ST,"IRVING, TX",89.59,0,0,0,0,Residential,South Side Slopes,3,16,4,16,3,4-24,-79.96883505517208,40.42192535515226
2655546,0013D00315000000,2907 JOSEPHINE ST,"MORRIS PLAINS, NJ",299.25,0,0,0,0,Residential,South Side Slopes,3,16,4,16,3,4-24,-79.96653416403386,40.42296569403704
2655547,0086G00029000000,1526 MURRAY AVE,"IRVING, TX",249.7,0,0,0,0,Residential,Squirrel Hill North,8,14,3,14,4,2-18,-79.9235101198774,40.44042067298212
2655548,0086J00178000000,5532 FORBES AVE,"PITTSBURGH, PA",3465.58,0,0,0,0,Residential,Squirrel Hill South,5,14,3,14,4,2-21,-79.92924223482886,40.43759366084522
2655549,0128A00010000000,2436 BEECHWOOD BLVD,"IRVING, TX",228.72,0,0,0,0,Residential,Squirrel Hill South,5,14,3,14,4,2-21,-79.91552178429772,40.43138669039113
2655550,0086R00182000000,5826 HOBART ST,"TEMPE, AZ",1354.06,0,0,0,0,Residential,Squirrel Hill South,5,14,3,14,4,2-21,-79.9218434259952,40.433621475973126
2655551,0081C00240000000,1159 MCCABE ST,"IRVING, TX",462.93,0,0,0,0,Residential,Stanton Heights,9,10,2,10,5,3-7,-79.93955331859667,40.47997240260276
2655552,0009D00050000000,1806 SMALLMAN ST,"PITTSBURGH, PA",2060.57,0,0,0,0,Commercial,Strip District,1,2,1,2,2,2-3,-79.98524783346227,40.45107522588236
2655553,0025N00080022100,2434 SMALLMAN ST UNIT 221,"PITTSBURGH, PA",29.72,0.49,0,0,0,Residential,Strip District,1,2,1,2,2,2-25,-79.980730917748,40.454293726818186
2655554,0025R00057000000,288 BRERETON ST,"PITTSBURGH, PA",20.98,0,0,0,0,Residential,Strip District,7,6,1,6,2,2-6,-79.97449658388653,40.45388243421826
2655555,0129G00156000000,1137 POCONO ST,"IRVING, TX",2254.81,0,0,0,0,Residential,Swisshelm Park,5,14,3,14,4,2-19,-79.9050909694747,40.41971637483683
2655556,0027K00013000000,3159 BRACKENRIDGE ST,"PITTSBURGH, PA",2258.89,0,0,0,0,Residential,Terrace Village,6,5,3,5,2,2-22,-79.96017342994716,40.44770168200306
2655557,0048E00293000000,2030 LOWRIE ST,"TRAFFORD, PA",3146.17,0,0,0,0,Residential,Troy Hill,1,24,1,24,1,1-2,-79.97949322868153,40.468575330841674
2655558,0080G00178000A00,5114 BUTLER ST,"IRVING, TX",3286.89,0,0,0,0,Residential,Upper Lawrenceville,7,10,2,10,2,3-5,-79.95519674959002,40.478754355933454
2655559,0080G00176000000,5118 BUTLER ST,"ELIOT, ME",3200.45,0,0,0,0,Residential,Upper Lawrenceville,7,10,2,10,2,3-5,-79.95514291836444,40.47884938919202
2655560,0080D00332000A00,5324 KENT WAY,"CLEVELAND, OH",2128.64,0,0,0,0,Residential,Upper Lawrenceville,7,10,2,10,2,3-5,-79.94970758335405,40.481203688369305
2655561,0080D00141000000,5206 CARNEGIE ST,"IRVING, TX",124.62,0,0,0,0,Residential,Upper Lawrenceville,7,10,2,10,2,3-5,-79.95324791031857,40.47995004051627
2655562,0080D00228000000,509 54TH ST,"IRVING, TX",49.56,0,0,0,0,Residential,Upper Lawrenceville,7,10,2,10,2,3-5,-79.9494457807184,40.48166667316912
2655563,0080H00208000A00,5213 POE WAY,"IRVING, TX",1818.37,0,0,0,0,Residential,Upper Lawrenceville,7,10,2,10,2,3-5,-79.95083135380942,40.478433484284494
2655564,0080G00263000000,5108 NATRONA WAY,"INDIAN LAND, SC",2982.91,0,0,0,0,Residential,Upper Lawrenceville,7,10,2,10,2,3-5,-79.95414263428627,40.47769090844228
2655565,0028A00043000000,261 ROBINSON ST,"PITTSBURGH, PA",2109.45,0,0,0,0,Residential,West Oakland,6,4,3,4,4,2-10,-79.96598328611337,40.44200961823057
2655566,0028A00036000000,251 ROBINSON ST,"IRVING, TX",2081.32,0,0,0,0,Residential,West Oakland,6,4,3,4,4,2-10,-79.96601156133853,40.44175689961975
2655567,0033H00100000000,24 ELIZABETH ST,"IRVING, TX",0,0,1,217.91,67.19,Residential,,,,,,,,,
2655568,0032E00294000000,HORN ST,"PITTSBURGH, PA",0,0,1,110.7,0,Residential,,,,,,,,,
2655569,0025P00170000901,R OF W,"ATLANTA, GA",0,0,1,284.66,324.98,Utilities,,,,,,,,,
2655570,0033H00091000000,8 ELIZABETH ST,"IRVING, TX",0,0,1,73.08,1.83,Residential,,,,,,,,,
2655571,0033H00241000000,9 ELIZABETH ST,"IRVING, TX",0,0,1,645.75,75.33,Residential,,,,,,,,,
2655572,0033H00086000000,2 ELIZABETH ST,"CANTON, OH",0,0,1,355.22,153.92,Residential,,,,,,,,,
2655573,0033C00201000000,501 BROWNSVILLE RD,"IRVINE, CA",0,0,1,24.27,0,Commercial,,,,,,,,,
2655574,0033G00068000000,108 FULTON PL,"ENCINO, CA",0,0,1,725.7,18.14,Residential,,,,,,,,,
2655575,0033H00098000000,22 ELIZABETH ST,"SAN RAMON, CA",0,0,1,348.5,8.71,Residential,,,,,,,,,
2655576,0033H00335000000,412 NICHOLAS ST,"PITTSBURGH, PA",0,0,1,367.98,9.2,Residential,,,,,,,,,
2655577,0033H00232000000,40 ELIZABETH ST,"PITTSBURGH, PA",0,0,1,55.65,1.39,Residential,,,,,,,,,
2655578,0008D00020000002,412 E COMMONS,"PITTSBURGH, PA",0,0,1,16448.78,0,Commercial,Allegheny Center,1,22,1,22,1,1-6,-80.00240627879427,40.45130651885126
2655579,0008C00155000400,1 ALLEGHENY SQ,"PITTSBURGH, PA",0,0,1,4112.16,0,Commercial,Allegheny Center,1,22,1,22,1,1-6,-80.00582464304614,40.45180879533943
2655580,0008D00020000001,412 E COMMONS,"PITTSBURGH, PA",0,0,1,226.82,0,Commercial,Allegheny Center,1,22,1,22,1,1-6,-80.00285552081374,40.45122049816906
2655581,0008A00096000000,838 N LINCOLN AVE,"IRVING, TX",0,0,1,3062.95,76.57,Residential,Allegheny West,1,22,1,22,1,1-7,-80.0154219386189,40.45148486196785
2655582,0008B00001000000,713 RIDGE AVE,"PITTSBURGH, PA",0,0,1,50.72,26.21,Commercial,Allegheny West,1,22,1,22,1,1-7,-80.01174693651043,40.45055765976208
2655583,0007D00177000000,925 WESTERN AVE,"PITTSBURGH, PA",0,0,1,39.39,0.99,Commercial,Allegheny West,1,22,1,22,1,1-7,-80.01746619211251,40.45153190461921
2655584,0008A00015000000,806 WESTERN AVE,"PITTSBURGH, PA",0,0,1,1520.08,0,Commercial,Allegheny West,1,22,1,22,1,1-7,-80.01446102145411,40.4524959171477
2655585,0008A00014000000,901 BRIGHTON RD,"PITTSBURGH, PA",0,0,1,254.2,0,Commercial,Allegheny West,1,22,1,22,1,1-7,-80.01431657713043,40.45252555861548
2655586,0007D00029000000,851 BEECH AVE,"PITTSBURGH, PA",0,0,1,1090.91,345.44,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01635031650135,40.45267550118311
2655587,0022S00059000000,934 BEECH AVE,"PITTSBURGH, PA",0,0,1,2722.03,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01832554564668,40.45277272009481
2655588,0007D00178000000,929 WESTERN AVE,"SAINT LOUIS, MO",0,0,1,2205.8,91.9,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01758204359646,40.45151152978495
2655589,0007D00185000000,939 WESTERN AVE,"CANONSBURG, PA",0,0,1,9566.96,0,Commercial,Allegheny West,1,22,1,22,1,1-7,-80.01792629151932,40.451445557135735
2655590,0008A00127000000,833 N LINCOLN AVE,"PITTSBURGH, PA",0,0,1,5402.88,180.09,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01510902141929,40.45099344807623
2655591,0007D00047000000,913 BEECH AVE,"PITTSBURGH, PA",0,0,1,66.03,3.3,Residential,Allegheny West,1,22,1,22,1,1-7,-80.0173104830467,40.452475812320095
2655592,0007D00058000000,933 BEECH AVE,"PITTSBURGH, PA",0,0,1,2267.13,94.46,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01799763465382,40.45234740557134
2655593,0022S00105000000,1019 GALVESTON AVE,"IRVING, TX",0,0,1,1639.18,0,Residential,Allegheny West,1,22,1,22,1,1-7,-80.01720726234183,40.45335050867386
2655594,0003P00189000000,722 MCLAIN ST,"PITTSBURGH, PA",0,0,1,425.05,49.59,Residential,Allentown,3,18,4,18,3,4-5,-79.99491962691529,40.4240865563612
2655595,0014F00329000000,850 LOYAL WAY,"IRVING, TX",0,0,1,219.2,0,Residential,Allentown,3,18,4,18,3,4-6,-79.99171108830342,40.41950202583683
2655596,0014B00398000000,904 EXCELSIOR ST,"PITTSBURGH, PA",0,0,1,51.1,0,Residential,Allentown,3,18,4,18,3,4-5,-79.99145147123137,40.4227475885687
2655597,0014F00083000000,738 FREELAND ST,"SOUTH PARK, PA",0,0,1,308.77,0,Residential,Allentown,3,18,4,18,3,4-21,-79.99426407373441,40.41901057234451
2655598,0014B00019000000,733 CERES WAY,"IRWIN, PA",0,0,1,238.01,81.31,Residential,Allentown,3,18,4,18,3,4-5,-79.99458626023105,40.42339773325271
2655599,0014F00038000000,120 WALTER ST,"PITTSBURGH, PA",0,0,1,43.68,1.09,Residential,Allentown,3,18,4,18,3,4-21,-79.99504505307061,40.42109195906372
2655600,0014G00277000000,960 MANTON WAY,"PITTSBURGH, PA",0,0,1,35.88,0.9,Residential,Allentown,3,18,4,18,3,4-6,-79.98958937610048,40.421136798697646
2655601,0014C00151000000,BROSVILLE ST,"PITTSBURGH, PA",0,0,1,20.98,0.52,Residential,Allentown,3,18,4,18,3,4-6,-79.98928009512795,40.42252146108267
2655602,0014C00353000000,941 MANTON WAY,"PITTSBURGH, PA",0,0,1,28.19,0,Residential,Allentown,3,18,4,18,3,4-6,-79.9902164506183,40.4214866548008
2655603,0014A00227000000,614 EXCELSIOR ST,"PITTSBURGH, PA",0,0,1,298.62,273.73,Residential,Allentown,3,18,4,18,3,4-5,-79.99680663662353,40.42262158481497
